model_id,cell_id,turn_label,score_kind,n,mean_score,sd_score
Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset,response_distress,10,0.7,0.6749
Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset_washout,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset_washout,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.1,0.3162
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,onset,response_distress,10,0.8,0.6325
Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,onset_washout,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,onset,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,onset_washout,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.1,0.3162
google/gemma-2-9b-it,easy__accurate__hostile,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__accurate__hostile,onset,response_distress,10,1.9,2.6437
google/gemma-2-9b-it,easy__accurate__hostile,onset_washout,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__accurate__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__accurate__neutral,onset,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__accurate__neutral,onset_washout,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,measured,response_distress,10,0.4,0.6992
google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.3,0.6749
google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.0,0.0
google/gemma-2-9b-it,hard__accurate__hostile,measured,response_distress,10,0.2,0.6325
google/gemma-2-9b-it,hard__accurate__hostile,onset,response_distress,10,4.5,1.5092
google/gemma-2-9b-it,hard__accurate__hostile,onset_washout,response_distress,10,0.7,1.4944
google/gemma-2-9b-it,hard__accurate__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it,hard__accurate__neutral,onset,response_distress,10,0.0,0.0
google/gemma-2-9b-it,hard__accurate__neutral,onset_washout,response_distress,10,0.0,0.0
google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,measured,response_distress,10,0.2,0.6325
google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.1,0.3162
google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.0,0.0
