model_id,cell_id,turn_label,score_kind,n,mean_score,sd_score
google/gemma-2-9b-it+dpo-A,easy__accurate__hostile,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__accurate__hostile,onset,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__accurate__hostile,onset_washout,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__accurate__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__accurate__neutral,onset,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__accurate__neutral,onset_washout,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,easy__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__accurate__hostile,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__accurate__hostile,onset,response_distress,10,2.6,1.2649
google/gemma-2-9b-it+dpo-A,hard__accurate__hostile,onset_washout,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__accurate__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__accurate__neutral,onset,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__accurate__neutral,onset_washout,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
google/gemma-2-9b-it+dpo-A,hard__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.0,0.0
